complaint_id,complaint_text,area,department,priority,eta_days
411,Streetlight not working in Pimpri,Pimpri,Waste Management,Medium,2
412,Streetlight not working in Hadapsar,Hadapsar,Electricity,Medium,5
413,Garbage not collected in Camp,Camp,Waste Management,High,6
414,No electricity since morning in Shivaji Nagar,Shivaji Nagar,Water Supply,Low,6
415,Drainage system is blocked in Aundh,Aundh,Water Supply,Low,3
416,Water leakage reported in Camp,Camp,Sanitation,Medium,2
417,Open manhole reported in Camp,Camp,Road Maintenance,Medium,5
418,Overflowing garbage bin in Shivaji Nagar,Shivaji Nagar,Electricity,High,3
419,Road has major potholes in Kothrud,Kothrud,Water Supply,Medium,7
420,Open manhole reported in Wagholi,Wagholi,Waste Management,Medium,4
421,Irregular water supply in Pimpri,Pimpri,Waste Management,Medium,2
422,Broken footpath in Viman Nagar,Viman Nagar,Road Maintenance,Medium,7
423,Broken footpath in Kharadi,Kharadi,Sanitation,Medium,2
424,Broken footpath in Aundh,Aundh,Waste Management,Medium,6
425,Open manhole reported in Baner,Baner,Road Maintenance,Medium,7
426,Drainage system is blocked in Viman Nagar,Viman Nagar,Water Supply,Medium,2
427,Road has major potholes in Camp,Camp,Electricity,Medium,3
428,Road has major potholes in Wagholi,Wagholi,Sanitation,Medium,7
429,Garbage not collected in Wagholi,Wagholi,Water Supply,High,4
430,No electricity since morning in Hadapsar,Hadapsar,Waste Management,High,6
431,Garbage not collected in Baner,Baner,Sanitation,Low,7
432,Irregular water supply in Baner,Baner,Water Supply,Medium,1
433,Drainage system is blocked in Shivaji Nagar,Shivaji Nagar,Waste Management,Medium,1
434,Streetlight not working in Baner,Baner,Sanitation,High,5
435,Streetlight not working in Viman Nagar,Viman Nagar,Waste Management,Medium,3
436,Broken footpath in Baner,Baner,Waste Management,High,4
437,Irregular water supply in Shivaji Nagar,Shivaji Nagar,Electricity,Medium,2
438,Overflowing garbage bin in Wagholi,Wagholi,Road Maintenance,Medium,7
439,Garbage not collected in Camp,Camp,Water Supply,Low,4
440,Garbage not collected in Viman Nagar,Viman Nagar,Water Supply,Medium,2
441,Overflowing garbage bin in Baner,Baner,Water Supply,Medium,1
442,No electricity since morning in Camp,Camp,Water Supply,Medium,5
443,Road has major potholes in Viman Nagar,Viman Nagar,Sanitation,Medium,7
444,Streetlight not working in Hadapsar,Hadapsar,Road Maintenance,Low,2
445,Water leakage reported in Shivaji Nagar,Shivaji Nagar,Waste Management,Medium,6
446,Streetlight not working in Aundh,Aundh,Sanitation,Medium,4
447,Garbage not collected in Pimpri,Pimpri,Sanitation,High,3
448,No electricity since morning in Kharadi,Kharadi,Waste Management,High,3
449,Streetlight not working in Viman Nagar,Viman Nagar,Sanitation,High,6
450,Road has major potholes in Wagholi,Wagholi,Waste Management,High,3
451,Open manhole reported in Hadapsar,Hadapsar,Road Maintenance,Medium,7
452,Overflowing garbage bin in Camp,Camp,Electricity,Low,2
453,Road has major potholes in Shivaji Nagar,Shivaji Nagar,Waste Management,High,2
454,Overflowing garbage bin in Baner,Baner,Road Maintenance,Medium,6
455,Garbage not collected in Aundh,Aundh,Sanitation,Medium,7
456,No electricity since morning in Pimpri,Pimpri,Water Supply,High,3
457,Streetlight not working in Kharadi,Kharadi,Electricity,Medium,6
458,No electricity since morning in Hadapsar,Hadapsar,Water Supply,Medium,4
459,Broken footpath in Baner,Baner,Sanitation,High,6
460,Water leakage reported in Viman Nagar,Viman Nagar,Water Supply,Low,3
461,Open manhole reported in Baner,Baner,Electricity,Medium,7
462,Streetlight not working in Kharadi,Kharadi,Water Supply,High,3
463,No electricity since morning in Baner,Baner,Electricity,Medium,1
464,Overflowing garbage bin in Viman Nagar,Viman Nagar,Road Maintenance,High,5
465,Streetlight not working in Viman Nagar,Viman Nagar,Water Supply,High,6
466,Streetlight not working in Wagholi,Wagholi,Road Maintenance,Medium,1
467,Irregular water supply in Shivaji Nagar,Shivaji Nagar,Water Supply,Low,5
468,Water leakage reported in Aundh,Aundh,Road Maintenance,Low,2
469,Open manhole reported in Aundh,Aundh,Sanitation,Low,4
470,Broken footpath in Camp,Camp,Waste Management,Medium,3
471,Garbage not collected in Shivaji Nagar,Shivaji Nagar,Road Maintenance,Medium,2
472,Drainage system is blocked in Kothrud,Kothrud,Road Maintenance,High,6
473,Water leakage reported in Hadapsar,Hadapsar,Road Maintenance,High,3
474,Overflowing garbage bin in Camp,Camp,Electricity,Medium,2
475,Broken footpath in Aundh,Aundh,Sanitation,Medium,5
476,Broken footpath in Camp,Camp,Electricity,Medium,1
477,Drainage system is blocked in Aundh,Aundh,Water Supply,High,7
478,Water leakage reported in Shivaji Nagar,Shivaji Nagar,Waste Management,Medium,1
479,Broken footpath in Pimpri,Pimpri,Water Supply,Low,4
480,Overflowing garbage bin in Pimpri,Pimpri,Waste Management,High,7
481,Open manhole reported in Hadapsar,Hadapsar,Sanitation,Medium,4
482,Overflowing garbage bin in Aundh,Aundh,Road Maintenance,Medium,2
483,No electricity since morning in Wagholi,Wagholi,Waste Management,Medium,5
484,Streetlight not working in Aundh,Aundh,Sanitation,Medium,2
485,Overflowing garbage bin in Hadapsar,Hadapsar,Road Maintenance,High,2
486,Open manhole reported in Hadapsar,Hadapsar,Water Supply,Medium,4
487,Irregular water supply in Kothrud,Kothrud,Water Supply,Medium,3
488,No electricity since morning in Viman Nagar,Viman Nagar,Waste Management,Low,6
489,Garbage not collected in Hadapsar,Hadapsar,Waste Management,Medium,7
490,Road has major potholes in Hadapsar,Hadapsar,Waste Management,Medium,6
491,Irregular water supply in Viman Nagar,Viman Nagar,Road Maintenance,Medium,6
492,Broken footpath in Kharadi,Kharadi,Water Supply,Medium,1
493,Irregular water supply in Baner,Baner,Road Maintenance,Medium,6
494,Drainage system is blocked in Viman Nagar,Viman Nagar,Waste Management,High,6
495,Garbage not collected in Kharadi,Kharadi,Water Supply,Medium,7
496,Road has major potholes in Kothrud,Kothrud,Electricity,Medium,7
497,Drainage system is blocked in Kharadi,Kharadi,Water Supply,Low,7
498,Streetlight not working in Wagholi,Wagholi,Electricity,High,6
499,Open manhole reported in Kothrud,Kothrud,Road Maintenance,Medium,2
500,Water leakage reported in Aundh,Aundh,Road Maintenance,Medium,5
