query,organization
Smooth flowing traffic from Chattarpur Red Light towards Sultanpur.,dtptraffic
Dausa Railway station security reduce.,RailMinIndia
traveling in 11078. Unreserved passengers in coach S10. Really uncomfortable. Help.,RailMinIndia
My PNR no 8246785336- train no-12192--A-1- seat -7-9- Maulesh-9978910935.,RailMinIndia
AC not working. Complained several times noone listening. Suffocating in here. HELP PNR:2545543259 12040 NDLS-KGM C9 29.,RailMinIndia
Need ur assistance in getting my stolen mobile back as negligible and disappointing response from ur team.,DelhiPolice
due to an accident at fly over towards jagatpuri shahdara huge mass has been gathered there causing obstruction in traffic flo.,dtptraffic
Never seen such a list of planning and activities in . Sir is the Man with a mission . Keep up the good work !,RailMinIndia
my brothers lost origi ticket and were told at enquiry SBC that 1/3.,RailMinIndia
Gear up Delhi police.,DelhiPolice
Appeal 2 Citizens. Carry bottle of cold water and give it 2 Traffic police at Juncs all over country.,dtptraffic
This bjp It cell terrorist openly owning up his love for terror org. Time fr to nip this thing in d bud.,DelhiPolice
Heads Off to you People. Working so hard in all the weather Just for Our Safety. आपको सलाम.,dtptraffic
Btw 1000-1020 today.,dtptraffic
Pan Applied 07809700116521 dt 26 march 2016 still in processing TAKES 20-30 DAYS TO ISSUE PAN.,IncomeTaxIndia
I got a call from +91 96-70-190812 India claiming to be from ICICI asking for my credit card number n expiry!,DelhiPolice
PNR-6551630490 my family is travelling to NDLS and they have their flight on 01:10am. train is running very late.,RailMinIndia
Dear my phone was lost 1. 5 years back but I didn't get any information on that? Can you please trace the same?,DelhiPolice
what is the most reliable way to know the status of running train? Called 139 and it was telling wrong status of train 22132.,RailMinIndia
all IRCTC help line nos. always busy why provide such useless nos. to harass the passengers.,RailMinIndia
respected sir please run atleast one train betwwen lucknow junction to sai nagar shirdi.,RailMinIndia
is this correct? Do parties such like these have exemptions.,DelhiPolice
Majr blk betn Saphale-Vaitarna fr launchg of main girdr on 1/5/16- Jagruk Times-Mumbai.,RailMinIndia
attn is invited for speedy track doubling and electrification of singrauli section i. e from Chopan to Katni via SGRL.,RailMinIndia
Odd Even Dobara Odd Even Was more of a knee jerk reaction to manage traffic snarla under pollution garb. RT.,dtptraffic
i am indian railways DR P A STEEVEN RAJ SR. COMI/MDU I AM PROUD TO WORK ININDIAN RAILWAYS BECAUSE.,RailMinIndia
still no action on road shakurbasti Rly Cly connecting underpass ppl lvng trrbly#roadbroken.,RailMinIndia
Received this msg from Delhi no addressed on behalf of and Pl do needful.,DelhiPolice
22 mentions to brands in the last hour most to.,RailMinIndia
"CAR- DL4CAB6334 Model-Honda city """"LOST"""" plz contact 9717378123. Odd Even Dobara.",DelhiPolice
what happened to station code CHTS. not working . no stn code for COCHIN?,RailMinIndia
sir you are doing good job on financing front. There are some structural issues with current IR as well.,RailMinIndia
Why so much payment failure on IRCTC web site ?,RailMinIndia
traffic road blocked in Vasant Kunj Vasant Valley school.,dtptraffic
Sir please see the link. 2 cops did a wonderful job!,DelhiPolice
Right now. on Ashoka road if u are wondering what is violation. the car is parked on the pavement.,dtptraffic
sir we are tired from hvng unncssry temporary halts of premier trains like shatabdis. We pay more for facilities.,RailMinIndia
Sir still deploying old coaches in Shaktipunj Express HWH-JBP ? No charging facilities in S4 compartments.,RailMinIndia
How many times do we celebrate real heroism? This time Heroism was found in two cops! Let's celebrate.,DelhiPolice
motivational awards should be announced daily for people doing outstanding efforts in the force. Can suggest many options.,DelhiPolice
ASH-STP Section of wil b closed frm 15/5/2015 For GC till next Notification.,RailMinIndia
We HV received more then 6 pan cards on same add. No body named reside at given add . May forge pan card . Why to do ?,IncomeTaxIndia
specially fast locals so will u pls take action against them to travel safe disable person. Its humble request to u sir.,RailMinIndia
our RWA found 6 PAN cards with same add No one resides at add Wht to do . May forge PAN cards .,IncomeTaxIndia
Proud of u Bhai for doing the duty to humanity forgotten by most of us.,DelhiPolice
plz do help.,RailMinIndia
and BSYediyurappa Sir Please send Rail water to North Karnataka and save lives.,RailMinIndia
Application for new Pan Card failed after payment got deducted. Transaction reference numbers 400002967192 and 400003314611.,IncomeTaxIndia
getting creative. Kaha ho.,DelhiPolice
Arjuni station on a rainy day! Rail Drishti.,RailMinIndia
Went to dept today for o/s spoke to assessing officer felt good.,IncomeTaxIndia
150 People detained for roof top travel-Afternoon 27/4.,RailMinIndia
- May look into it. - I wish you had HIMMAT app. Response would have been better.,DelhiPolice
drive should be started people using pressure n blow horns in cars n 2 wheelers which is creating lot of noise pollution in city.,dtptraffic
via New Canine Squad ode to canine world !,DelhiPolice
sir great vision for railways hopefully plans excecuted under ur guidance great speech.,RailMinIndia
Sir is this allowed? Pl take action against the staff and GRP who allowed this.,RailMinIndia
Even cars running fearlessly on odd day how can v expect Odd Even Dobara 2 b a success!,dtptraffic
Does anyone know why the left into pragati maidan from sarai kale khan gets shut during traffic hours?,dtptraffic
i received a fraud call from this number 7463046463. he said that he was from rbi and wanted my atm details for atm verification.,DelhiPolice
Ji Toilets of old railway station delhi is too bad their condition is not good they are not properly Cleaned.,RailMinIndia
New Stoppage to Train No. 01707/08 Jabalpur-Atari-Jabalpur Special at Jalandhar City station w. e. f. 30. 04. 16.,RailMinIndia
Pollution under control? Oddeven? What about this?,dtptraffic
Sir MOST URGENT-REQUEST FOR IMMEDIATE HELP NIRAJ WARKE Mobile 09347080115.,RailMinIndia
We are traveling in train no. 15098 in coach no. S1 but fan is not working in whole coach kindly resolve pls.,RailMinIndia
Please help us.,RailMinIndia
- for the sake of City sort out Jawala Heri Traffic problems by making parking in single lane-.,dtptraffic
Autos refusing to come but believes that it's only and are evil.,dtptraffic
very pertinent question should answer who shouted 'Bharat ki barbaadi' arrest.,DelhiPolice
no result for this TDR already 6 month completed.,RailMinIndia
Spl train between Silchar - New Haflong on 28 and 29 April; will leave from Silchar at 7 am and from New Haflong at 12. 20 pm.,RailMinIndia
which is already being given as 244A interest @ 0. 5%p. m.,IncomeTaxIndia
Sir the local train stations in Chennai are pretty clean but there are not enough dust bins. Many stations have none.,RailMinIndia
jamm paked GTB Nagar rehriwala captured road both side Action y not taken yet. single const. nt avl.,dtptraffic
travelling to samproon kranti train no 12393. S-4 seat no 35. waiting for drinking water since 3hrs . no reply from vender.,RailMinIndia
How to know Trains Current Status ?,RailMinIndia
Senior Citizen is helpless. FIR-CD-PG-000054. 2 weeks since theft. No action from PaharGanj Station. Losing hope in DP.,DelhiPolice
Multiple Raids in Tamilnadu in secret. It is open truth that money in all constituency. No cases reg.,IncomeTaxIndia
Must be done immediately specially at important points in Delhi.,dtptraffic
RESPECTED SIR PLEASE ARANGE THE WATER SUPPLY IN BATHROOMS AND OBHS TRAIN NO. -12469 COACH NO. -S3 SEAT NO. -25 26 27.,RailMinIndia
SHO Mukesh Kumar denying filing a FIR for suspected Murder. is this correct way to treat people PS: Mauraya Enclave Delhi.,DelhiPolice
train 12995 3rd AC B1sn 58 Blancket and pilow r dirty andsmelling passenger near to my seat also complaining. plz look into this.,RailMinIndia
. Good Work NFR Office and Employees ? ?,RailMinIndia
waiting for 5 hrs for filing a FIR and your SHO is denying the same don't understand the procedure.,DelhiPolice
DTC bus wrongfully parked in free left turn lane on red light : Aurbindo Mrg tow Lodhi Garden at 8 15 AM.,dtptraffic
dakshin express coach S9 and S10 full of mosquito's. Pls do the needful.,RailMinIndia
New equipment helps to lay 1. 5km rail line daily against 150 mtr per day previously. DFC using it to boost timeline. ached in.,RailMinIndia
its become a common fashion of Black sheild on the car mirror. n incomplete or without a number plate.,DelhiPolice
sir plz run train 15045 and 19054 from cnb to jhs via orai stn route bcz it will save much time of pass.,RailMinIndia
My Bro's seat was occupied by other people who don't have reservation train12510 with PNR 6350289751 S1Coach Seat 49 pls hlp.,RailMinIndia
Instead of starting a bullet train it will be better add general quota coaches in every train.,RailMinIndia
civil defense volunteers should have ID cards tucked in their dress.,dtptraffic
pls reply sir.,RailMinIndia
Sir thanks for calling us.,RailMinIndia
Please clarify reports about a 21km long underwater tunnel planned btwn Thane and Virar for bullet train.,RailMinIndia
Sir train atnded Delhi lady pass. not available in said coach. Pl convey her to lodge FIR for legal action.,RailMinIndia
7 mentions to brands in the last hour most to.,RailMinIndia
Have seen live why bridges fall : a few thousands forcing themselves on to a bridge that can handle only few hundred.,RailMinIndia
traffic signal at Vayusenabad on MB road is not working. May lead to traffic jam on MB road if not taken care of.,dtptraffic
plz conduct Surprise Ticket checking btw RE-BNW-HSR Stretch. Mny Ppl travel without tickets. Suggestion.,RailMinIndia
Sagayam IAS has done a detail investigation of Granite/Mineral scam to the tune of 50k Crores. No action why?,IncomeTaxIndia
Rail Drishti Train Over The Nature's Green Carpet.,RailMinIndia
Two employees of Nehru Memorial Museum and Library arrested for allegedly stealing a dagger.,DelhiPolice
Delhi police recovered dagger from the slum area of Ferozshah Kotla.,DelhiPolice
Happy tht some1 has done a small beginning on the plight of Traffic policemen. Hard job and insults cc.,DelhiPolice
Sir WL tkt PNR 8145337716 didn't get confirmed n cancelled on 18/04. Refund Not Credited. TKT 3268477.,RailMinIndia
sir there is no any water in train 18609 in S-12 11 Please do something Pnr- 6250269763.,RailMinIndia
After joining PUHT-MTD will reduce the time taken for defence materials to move from major army depot.,RailMinIndia
Promotion and ease of use of ATVM shd b a top priority lot of ATVMs r out of order in suburbs.,RailMinIndia
This is 13134 Express's coach where GRP SI at Buxar ECR Yogendra 1.,RailMinIndia
. kindly let me know whom to contact in cases such as men entering ladies compartments in short journey trains.,RailMinIndia
10 mentions to brands in the last hour most to.,RailMinIndia
. forget about the Wifi nd high speed train. they didn't even provide cleaners on entire Ap express. DOJ 27/4/16.,RailMinIndia
truck has broken down at the start of Nehru Place flyover towards Nehru Place. requires urgent attention.,dtptraffic
Rake 1161B 9:18 CST from KYN. Ppl trvlng in motor coach. Pls chk.,RailMinIndia
Action Minister Of Railway ? ji is working silently . Feeling Proud. Make In India.,RailMinIndia
i got this convo forwarded by a friend. His id He mgt b hving sm terror link.,DelhiPolice
We are sorry for train late. Even sorry has lost his value in railway.,RailMinIndia
Dear My IT refund has been held-up due to a typo error made by your Dept and I was asked to pay outstanding tax which was 1/2.,IncomeTaxIndia
Sir Lucknow station plt from 5 or 6 pr pipe leak h or pani bhot der se waste ho RHA h. India me bhot log ko pani ni mil RHA.,RailMinIndia
arrests two employees of National Museum for stealing a dagger of heritage value from the Museum.,DelhiPolice
Heavy traffic from Panchsheel to Savitri Odd Even fail ?,dtptraffic
IPS officer S Nityananda to replace SK Gautam in the transfer list to be out by today evening.,DelhiPolice
. Sir Found This Car with Odd number DL2C4R 9125 on Even day at NH8.,dtptraffic
All the 2012 batch IPS officers except two serving in has been transferred out.,DelhiPolice
Twitter pe quick response ne Indian Railway ko kitna badal diya. Enjoying the journey- PNR 2416911704. Thanks.,RailMinIndia
Offence - Without Helmet Date - 28/04/16 Time - 9. 49 am Place - Delhi Cantt Dhaula Kuan Road.,dtptraffic
ji is gng to be mre popular than modi ji. we can see the changes have done by him grt wrk.,RailMinIndia
Golden dagger gifted to Pandit Nehru stolen from Nehru Memorial recovered by crime branch 2 arrested.,DelhiPolice
Recovered dagger.,DelhiPolice
Differences between AAP govt and LG office over appointment of DG Tihar has led to the post vacant for 2 mnths.,DelhiPolice
despite 400 Cr + revenue surat doesnot have Samparkkranti / Duranto stoppages ! why.,RailMinIndia
Will Odd Even apply if I tak U turn frm undr Rajokri flyovr 2 go 2 Ambience mal frm IFFCO. gurgaon.,DelhiPolice
Season pass rush in June2014 affects numbers in 2016 via.,RailMinIndia
vehicels parked on the main road sorrounding Kkd courts causing jam.,dtptraffic
It is not even a concern for but. World IP Day.,DelhiPolice
Right now Noway to go forward at dwarka mor red light due to graminsewa. Hactic.,dtptraffic
Odd number car on even day at Kibri Place Red light going towards Sadar Bazar road.,dtptraffic
Another car on Sadar Bazar delhi cantt road and the traffic police people here not doing anything.,dtptraffic
fraud call from 9698266159 asked card details.,DelhiPolice
No chalan on Odd vehicles on even day traffic police people are just sitting in tree shadow!,dtptraffic
My Brother working in Delhi and I am unable to contact with him from last 7 days. Could u plz contact me. My No is 7298116028.,DelhiPolice
plz plz do something about the ever present traffic jams from Uttam Nagar to Dwarka More Metro st.,dtptraffic
My Brother name is Arun Tickoo his previous contact no 94960305641 his friend no is 9599922423 I m rite now at Jammu.,DelhiPolice
The matter has been forwarded to for necessary action.,DelhiPolice
Vow what a traffic mgmt system we have Green Light - 20 secs Red Light - 200 secs traffic jam to hoga hi. no action taken.,dtptraffic
whereas railway has abolished this rule why is different rule in jabalpur.,RailMinIndia
How cleared Kolkata flyover debris in just 10 days without damaging buildings.,RailMinIndia
Sir fan not working in 16345 S1 compartment too hot.,RailMinIndia
Now will say that we have no problem in granting bail to. Kanhaiya Kumar.,DelhiPolice
Plea seeking cancellation of int. bail granted to : Delhi HC seeks police’s response to respond by 19th July. ANI.,DelhiPolice
Plea seeking cancellation of interim bail granted to Delhi HC seeks response Police to respond by 19th July.,DelhiPolice
Vehicles are stolen in broad day light what is delhi police doing why not install cameras at important places in delhi.,DelhiPolice
need 3 months to respond to a simple question. And let us keep faith in judiciary and police still.,DelhiPolice
I request and to strongly follow Goons of dey can plan riots. Congress Planning Riots.,DelhiPolice
sir have u arange any specl train for kumbhmela if any how to get the information will be grateful to u if u answer.,RailMinIndia
does the issues forwarded by to are examined properly.,RailMinIndia
12 car local finally operate on Harbour line.,RailMinIndia
A Great Salute to all Police officers.,DelhiPolice
plis see this moron humor is making fun of Gandhiji plis take immediate action.,DelhiPolice
Retweeted Delhi Police  TRAFFIC ADVISORY : IPL T-20 CRICKET MATCH AT FEROZESHAH KOTLA GROUND ON.,DelhiPolice
seats for children hasn't been allocated hence charges were taken by railway.,RailMinIndia
I saw on FB complaining about dirty bedsheets given to passengers in Delhi Dibrugarh Rajdhani Express.,RailMinIndia
provide medical assistance in 12356/Archana Express heading to Patna. suffering from high fever. Coach/Seat No: S6/2.,RailMinIndia
Any help on this issue.,DelhiPolice
PNR-6652863569 Trn:12565 P1-RC S12 47 P2-RC S12 47 TT is not confirm this ticket but they confirm general ticket.,RailMinIndia
vendors are still selling water bottels at Rs. 20 in 14257 K V Exp. Plz take necessary action.,RailMinIndia
Very poor cleanliness in coach no. AB1 of train no. 12943.,RailMinIndia
No water in the wash basins. 11019-Konark exp. Arriving Rajahmundry in 30 min. Coach-S7. PNR-8346270779.,RailMinIndia
Restoration done by Jaipur div NW Rly. Preserving heritage n promoting water conservation in Rajasthan.,RailMinIndia
Take proper action if u actually care 4 ppl convenience.,RailMinIndia
face off over 's bail violation plea.,DelhiPolice
Can we complain against uncovered construction in residential area causing unbearable breathing conditions?,DelhiPolice
booked bike in a packers n movers from kapashera Delhi its been more then 15 days no news can you help me m in Patna.,DelhiPolice
One Donor Two OrgansHeart and Liver Two Green CorridorsGurgaon andDelhi Two Lives Saved. Bravo.,dtptraffic
Date: 28. 04. 16. Time:12:48. Location: Amity International School Mayur Vihar. Delhi. Traffic.,dtptraffic
Ji r u from delhi? Contact ur city's police account on Twitter. For delhi its.,DelhiPolice
Superb! What a transformation! Kuddos to.,RailMinIndia
when will bhairon marg open in the evening its been more than a month.,dtptraffic
Here I am putting a Smile on covering yet another long Walk - Back Home. Odd Even Dobara.,dtptraffic
Please find the attached snapshot.,RailMinIndia
so while the rule says that one can cross on Amber you get hauled up and are made to pay a fine!,dtptraffic
sir there are many RATS in my compartment S6-6 is my coach bhuj to mumbai pls take some action.,RailMinIndia
Offence - Without Helmet Date - 28/04/16 Time - 9. 59 am Place - Sardar Patel Marg.,dtptraffic
Traffic at standstill. Uttam Nagar. Najafgarh Road. please help.,dtptraffic
Hope Indian Railways continue in the right direction and bring down goondaism.,RailMinIndia
Traffic is always an issue in peak hours here @ Noida more near new kondli due to non availability of traffic police 1/2.,dtptraffic
Sir is there any possibility to stop people encroaching on govt. land in the name of security and safety?,DelhiPolice
why no action on these gamblers? These r from one particular community I hope u will tk strict actions against.,RailMinIndia
stolen gold-plated Dagger which was gifted to Jawaharlal Nehru by the Saudi King in 1954 was recovered today by.,DelhiPolice
I trid to buk lowr birth. bt dint get evn after ancmnt . thy won't be abl to brd uper birth. plz help.,RailMinIndia
Sir introduce educational forums on careers to youth and campus jobs in major railway stations as innovation.,RailMinIndia
Horrible traffic jam from DND toll way all the way to Ashram and Lajpath Nagar. chock-a-block! Delhi.,dtptraffic
Does railways has any plan to provide toilets in EMU ?,RailMinIndia
narwana road from mangalam to Ras Vihar chocked by residents of West Vinod nagar in East Delhi parking vehicles on road.,dtptraffic
s beating d right nodes wth delivery centric processes which r bein monitored on real time basis. way to go. Transforming India.,RailMinIndia
vehicle Not a PCR van Stops for a second at a traffic light. Then floors it through the red. not surprising.,dtptraffic
Is this true or Media lie ?,DelhiPolice
Well Done working tirelessly at around 9 at vasant kunj road . Heart Transplant ambulance given free way . Bravo.,dtptraffic
Please watch this special episode and write your comments.,DelhiPolice
On 5Oct2015 CPC sent my ITR for 2015 to Gurgaon AO. No update from AO yet. No contact information available. Please help.,IncomeTaxIndia
Offence - Yellow Line Violation Date - 28/04/16 Time - 10. 14 am Place - Pragati Maidan Crossing.,dtptraffic
Loudspeaker playing loud in pocket K Sarita Vihar at 11:48 PM! Who has allowed this? Please stop it!,DelhiPolice
after 2 calls to PCR this loudspeaker nuisance still hasn't stopped at 12 midnight. How impotent u?,DelhiPolice
3 calls made 2 PCR. Stil no action. Loudspeaker stil on. PCR says v only convey msg cant ensure action. Real sad state!,DelhiPolice
plz extend eBedroll services to CDG and LKO nd other areas too.,RailMinIndia
Thank you made a call to 100 to report 4 boys in a car trying to intimidate me. Very prompt response and follow up.,DelhiPolice
sir it is a matter of disappointment dat PATNA junction doesn't have Wi-Fi for its passengers. ?,RailMinIndia
waiting at CST for departure of train 12137 Punjab mail departure time 19. 40 at 28. 04. 2016 still not departured.,RailMinIndia
Alleged nexus between traffic cops and transporters stickers on windshield is the key sign. story very soon.,dtptraffic
Dear Commuters travelling from Noida to North DelhiISBT n beyond face the toughest time as the right on Vikas. Contd.,dtptraffic
Her name Pallavi Prasad Bhanushali. missing from Kashi exp. pls help pls help pls help.,RailMinIndia
the time schedule of train no. 15617up and15618dn can reduce thus resulting is saving of time which most precious.,RailMinIndia
Sir do not count the charity . keep on doing it till it reaches all and no one is left out.,RailMinIndia
Dear Sir We are facing the single problem everyday from Ghaziabad to Moradabad rout Kindly healp to us.,RailMinIndia
The Sherlock Holmes:.,DelhiPolice
make it 9:55 am for mobile booking restriction instead of 8 am.,RailMinIndia
congratulations for such a brilliant workout. crime. museum. Delhi.,DelhiPolice
After recreating crime scene in Sherlock Holmes style recovers dagger stolen from Nehru Memorial Museum.,DelhiPolice
Major traffic jam from Ber Sarai flyover till Munirka Traffic Alert due to a police barricade.,dtptraffic
Retweeted Ministry of Railways  Launch of Indian Regional Navigation Satellite System1G to help.,RailMinIndia
signal not working on Nizamuddin bridge Ring Rd T-point.,dtptraffic
- you have ensured that half of mumbai is shifted in this route yet cont services that were relevant in 90s. Need answers.,RailMinIndia
Use of scooty by school students in morning remains unchecked in rohini area.,dtptraffic
any action on cars violating this one did in d broad daylight.,dtptraffic
this taxi is ferrying passengers illegally.,dtptraffic
sir this is totally disgusting and unacceptable.,DelhiPolice
DTC bus break down at vidhan sabha metro station bus stop.,dtptraffic
police must review why complaints are not registered and take strict action.,DelhiPolice
arrested two thieves named sonia and vadra with stolen dagger with which they used 2 steal Choppergate.,DelhiPolice
road carpeting vehicles on raja dhir sen marg-opp. D-148 East of Kailash parked from long time.,DelhiPolice
Shocking news the Minsiters in TN filing for so much money as income whats the source of Income? Is it potentially possible?,IncomeTaxIndia
road carpeting vehicles tractor parked improperly opp. D-148 East of Kailash from last 5-6 days.,dtptraffic
Sir there is a daily commuter horror on the Great colony flyover. A permanent barricading has been installed there which. 2/2.,dtptraffic
No fans working at Thvim Rly station. No AC waiting room available.,RailMinIndia
Just a request to tell TT to not cancel the ticket. Both tickets are mine and i hv paid full amount for both tickets. possible?,RailMinIndia
no security and frisiking of pax at NDLS via unreserved ticketing entry gate.,RailMinIndia
he prabhu I am journey with 12818 today. It getting panic everything. No any improvement of time or any facility's.,RailMinIndia
Extra coaches in UP Bihar Guj and Raj bound WR trns.,RailMinIndia
Impossible. We are in democracy. They are wanting to create anarchy if this is true JAI HO.,DelhiPolice
Overcharging##Softdrinks## Why Extra Charges.,RailMinIndia
why is police putting barickages at RTR FLYOVER causing Kms of traffic jam at 8 am ?,dtptraffic
car no. UP14CC 4996 big vehicle. flouting IDD even on paragati maidan road to sarai kale khan. traffic cops stooped by it didn't.,dtptraffic
Live Organs Transported btwn two cities. Green corridors formed by.,DelhiPolice
sir who is model officer under RTI for office of DCP licensing and where is his office.,DelhiPolice
CBDT makes public data on total number of taxpayers in India. CACSHUB.,IncomeTaxIndia
do more and more rain on rail agents. stop cheating and fraud.,RailMinIndia
Follow Friday top Influencers this week! Have a great weekend : >> Get FREE?,dtptraffic
gt brkn seat in tatkal. No rply. didnt expect this. Ruined trip.,RailMinIndia
Proud of u.,DelhiPolice
underage kids on bikes without helmets all over Delhi. Three bikes in this photo alone. Mandir marg.,dtptraffic
sir third line at GZN has been approved earlier. Space is there. Help movement of express freely. Plz see.,RailMinIndia
I am unable to find the details of this PNR 231-5808689 please help me.,RailMinIndia
I had been using irctc account with ID“bry_100” I am not aware why account has been disabled kindly help.,RailMinIndia
to get the same info but very sorry to say that they lack basic experience. Pls try yourself 18001801961. Jai Hind !,IncomeTaxIndia
it's funny how you act like you're the best department of police on Twitter. How much did you earn in bribe today ?,DelhiPolice
oh I forgot I'm speaking to legal gangsters. Ghar se toh nahi uthwa loge mujhe ? How much money to settle this ?,DelhiPolice
hr 56 A 4165 near jwala heti underpas and McDonalds. ovrload and no cover. I have also sent pics to ngt.,dtptraffic
Res. CM Kejriwal PM has Shared His Educational docs on the Website of Please Find D Same. Degree Dikhao Modi Ji.,IncomeTaxIndia
take action who looting people . 8010191777.,DelhiPolice
pls tel n c JI dat failure of laws n cops led to dis in US learn frm it.,DelhiPolice
- Travellinng in Train 14521 boarded from Delhi. AC-ChairCar Coach C1. - No cooling. Please help.,RailMinIndia
Sir we are stuck at Jalandhar 12039 with no definite information on further journey! Kindly help!,RailMinIndia
"cji atleast accused will serve 19yrs in jail full term in US as US laws r not """"made in india"""".",DelhiPolice
Black glass is allowed in delhi ?,dtptraffic
Amritsar Swarn Shatbdi haulted at Jalandar stn for 1. 5 hrs. no one infrmng reason. please tell the reason.,RailMinIndia
Dirty shahad Rly station due to fruit vendors being allowed to operate on platform. Action needed.,RailMinIndia
CNG Station near scope complex has blocked entire road causing traffic jam.,dtptraffic
great. Who takes care of road politicians licence centers people and dalals and traffic policemen?,dtptraffic
plz fixed some lower birth quota for pregnant women also.,RailMinIndia
pls help. My car stolen from saraswati garden -15 in morning DL10CE7533 PLS HELP . NOBODY HELP ON THIS MATTER.,DelhiPolice
in no of cases return has bee filed in sept and claimed refund but still the refund has not been issued by CPC.,IncomeTaxIndia
Only 2. 9 cr Indians 2% of 130 cr filed returns with in FY13. Direct Tax/GDP ratio at 5. 47% in FY15.,IncomeTaxIndia
kindly initate swatchata abhiyan in trains across d jandk Critical condition frm sgr to banihal.,RailMinIndia
Go through this thread for very interesting data released by for AY 12-13 today.,IncomeTaxIndia
22113 LTT KCVL Express Two Tier AC Coach is very very old coach. Three Tier AC Coach is new and clean.,RailMinIndia
Sir pls help. My wife missing since 36 hrs. Allahabad RPF offc not taken FIR. mumbai RPF got last mobile location Gonda dist.,RailMinIndia
fantastic work in cracking the Nehru Memorial Museum robbery at Teen Murti House. Left handed thief and all. Congratulations.,DelhiPolice
Pleasantly surprised to find that website has a well laid out and clutter free homepage.,DelhiPolice
: detect whether train is at station or not and on stoppage let it auto lock the toilet doors. If a person is.,RailMinIndia
Congratulations For Creating Green Corridor and Saving Lives In Future Many Would Donate Organs Including Me Keep Up.,dtptraffic
Stinky dirty toilets in Malwa express A1. Traveling frm Ambala to Ujjain for Simhast2016 PNR-2543934192.,RailMinIndia
FAKE NUMBER PLATE ADVOCATE STICKER MISUSED PLZ TAKE IMMEDIATE ACTION! OWNER: NITISH ARORA.,dtptraffic
train no 17318 travelling from Mumbai to hubli in 2AC very poor/old cushions. expected good/new coach. 3AC is better than 2AC.,RailMinIndia
PNR:8534230749 TRAIN:19039 DOJ:09-06-2016 TIME:22:40 SL BDTS TO GKP Siddharth Sonk S7 16 FARE:680 SC:22. 9+PG CHGS.,RailMinIndia
pls note and help!,DelhiPolice
In train no 12678 . Having confirmed seat unable to seat.,RailMinIndia
Retweeted Green TV கிரீன் டிவ  Please.,DelhiPolice
Sir IT act is not updated on Department of revenue website. It is up to Finance act 2011. Please update.,IncomeTaxIndia
Employees Provident Fund will have an interest rate of 8. 8% says Centre.,IncomeTaxIndia
Need to atleast browse through data. Must be fun.,IncomeTaxIndia
- The A. C in the compartment C-14 of Shatabdi Express 12001 is not working. Its boiling inside. Please fix it.,RailMinIndia
B1 coach Train no. 14319 electricity issue.,RailMinIndia
Assessment year 2011-12 waiting for outstanding demand to be clear. I have uploaded all documents in website in Sep'15 1/n.,IncomeTaxIndia
Because of this my return for yr 2011-12 and 2015-16 on hold. Transaction id - 2930244523 and 2451158671. Please help. thnx.,IncomeTaxIndia
What is the status of traffic sentinel scheme? is it scrapped? why so much delay in rewarding volunteers?,dtptraffic
Spotted an idiot. if rash driving was a sport we've got an Olympic champ in that Mustard Mini. Delhi.,DelhiPolice
no fear of law . opposite gk1 redlight.,dtptraffic
Please try to remove encroachments from Babarpur road.,dtptraffic
Sir Traffic lights from Poorvi Marg going towards R K Puram under the RTR not working last 2days mess/big accident hazard .,dtptraffic
Experimental stoppage to 11447/11448 JBP-HWH-JBP Shaktipunj Exp at Niwas Road station for a period of 6 months.,RailMinIndia
is my e-ticket tatkal waiting list ticket is cancelled or is valid.,RailMinIndia
Thank u 4 making tax data public. it will immensely help in fact based approach to nation building.,IncomeTaxIndia
Traffic jams RTR not because of barricades-prevents cars butting in if single line for flyover no problem indiscipline reason.,dtptraffic
Const red light tking pics of cars over stop line;doing nothing when pedestrians crossing greenlight causing havoc.,dtptraffic
too much traffic jam. Munirka to Palam road. Stuck from the last 20 mins. odd even :.,dtptraffic
just spotted this car near Indraprastha Metro Station. Odd Even.,dtptraffic
My post summarising some interesting take-aways from data released by today:.,IncomeTaxIndia
The toilets are in its worst condition of Train No. 12235 Rajdhani Express Thanks in advance.,RailMinIndia
Rail Men on a Mission. Braving the Summer Heat.,RailMinIndia
train no. 11022 2AC super dirty bed linen. stinking will make kids sick. pls help.,RailMinIndia
Follow Friday Take a look at this week’s pics. FF.,IncomeTaxIndia
Even in no parking areas people have parked their cars causing traffic jam @ Connaught Place! on summer vacation?,dtptraffic
pls have mercy on me how will i manage to reach on time at gzb by 14217. PNR-2763568623. pls undstand my mom is ptnt of ANXIETY.,RailMinIndia
30 hrs since reporting theft of my car 3 visits to Shalimar Bagh police station FIR yet to be registered.,DelhiPolice
Huge traffic jam at Pankha Road. No traffic management Cc.,dtptraffic
Action will never b taken on two complaints forwarded by commissioner office itself?,DelhiPolice
travel from gct to anvt in 22419 pnr-2217057234 vendor sell the items ₹5 extra from mrp.,RailMinIndia
Charging point not working on train 15618. TTE flatly denies to help. Its been out of order for a long time. Pls look into it.,RailMinIndia
fire at Hajipur Junction due to short circuit. Stamped like situation.,RailMinIndia
Why Odd-Even violators in Outer Delhi are having an easy escape via.,dtptraffic
huge jams leading to Fortis Vasant Kunj. Inexcusable to have this sort of situation near a hospital. Do your jobs!,dtptraffic
nsbhatnagar: no action taken after given CCTV footage to…. Delhi Insider. Insider Tweets.,DelhiPolice
Delhi Insider: nsbhatnagar: no action taken after given CCTV footage to……. Fab Offers.,DelhiPolice
